@CENSUS,@CENSUS,TABLE
xs10_0drz32,xs10_0drz32,1
xs10_178kk8,xs10_178kk8,1
xs10_32qr,xs10_32qr,1
xs10_35ako,xs10_35ako,6
xs10_69ar,xs10_69ar,2
xs10_g8o652z01,xs10_g8o652z01,24
xs11_g0s453z11,xs11_g0s453z11,1
xs11_g8o652z11,xs11_g8o652z11,7
xs11_ggm952z1,xs11_ggm952z1,1
xs12_330f96,xs12_330f96,1
xs12_g8o653z11,xs12_g8o653z11,1794
xs12_raar,xs12_raar,1
xs13_08ka96z321,xs13_08ka96z321,3
xs14_178jq23,xs14_178jq23,1
xs14_39e0e93,xs14_39e0e93,13
xs14_39e0e96,xs14_39e0e96,1
xs14_6970796,xs14_6970796,6
xs14_69bo8a6,xs14_69bo8a6,8
xs14_69bqic,xs14_69bqic,159
xs14_69e0eic,xs14_69e0eic,1
xs14_g88b96z123,xs14_g88b96z123,23
xs14_g88m952z121,xs14_g88m952z121,674
xs14_j1u066z11,xs14_j1u066z11,1
xs15_09v0ccz321,xs15_09v0ccz321,1
xs15_354cgc453,xs15_354cgc453,1
xs15_j1u06a4z11,xs15_j1u06a4z11,1
xs16_69egmiczx1,xs16_69egmiczx1,2
xs16_69f0f96,xs16_69f0f96,4
xs16_g88m996z1221,xs16_g88m996z1221,57
xs16_j1u0696z11,xs16_j1u0696z11,3
xs18_j1u0uicz11,xs18_j1u0uicz11,54
xs18_rhe0ehr,xs18_rhe0ehr,34
xs20_3lkkl3z32w23,xs20_3lkkl3z32w23,57
xs22_3lkkl3z122643,xs22_3lkkl3z122643,16
xs26_69baacz6511d96,xs26_69baacz6511d96,2
xs28_69b88a6z69d1d96,xs28_69b88a6z69d1d96,3
xs4_252,xs4_252,8815
xs4_33,xs4_33,320538
xs5_253,xs5_253,43989
xs6_25a4,xs6_25a4,618
xs6_356,xs6_356,32761
xs6_39c,xs6_39c,56
xs6_696,xs6_696,163381
xs6_bd,xs6_bd,22
xs7_178c,xs7_178c,118
xs7_2596,xs7_2596,46887
xs7_25ac,xs7_25ac,3130
xs8_178k8,xs8_178k8,2
xs8_25ak8,xs8_25ak8,82
xs8_312ko,xs8_312ko,3
xs8_35ac,xs8_35ac,39
xs8_3pm,xs8_3pm,33
xs8_6996,xs8_6996,11464
xs8_69ic,xs8_69ic,233
xs9_178426,xs9_178426,1
xs9_178ko,xs9_178ko,7
xs9_25a84c,xs9_25a84c,1
xs9_25ako,xs9_25ako,6
xs9_31ego,xs9_31ego,17
xs9_4aar,xs9_4aar,8
